id,production_companies
135397,Universal Studios
135397,Amblin Entertainment
135397,Legendary Pictures
135397,Fuji Television Network
135397,Dentsu
76341,Village Roadshow Pictures
76341,Kennedy Miller Productions
262500,Summit Entertainment
262500,Mandeville Films
262500,Red Wagon Entertainment
262500,NeoReel
140607,Lucasfilm
140607,Truenorth Productions
140607,Bad Robot
168259,Universal Pictures
168259,Original Film
168259,Media Rights Capital
168259,Dentsu
168259,One Race Films
281957,Regency Enterprises
281957,Appian Way
281957,CatchPlay
281957,Anonymous Content
281957,New Regency Pictures
87101,Paramount Pictures
87101,Skydance Productions
286217,Twentieth Century Fox Film Corporation
286217,Scott Free Productions
286217,Mid Atlantic Films
286217,International Traders
286217,TSG Entertainment
211672,Universal Pictures
211672,Illumination Entertainment
150540,Walt Disney Pictures
150540,Pixar Animation Studios
150540,Walt Disney Studios Motion Pictures
206647,Columbia Pictures
206647,Danjaq
206647,B24
76757,Village Roadshow Pictures
76757,Dune Entertainment
76757,Anarchos Productions
76757,Warner Bros.
264660,DNA Films
264660,Universal Pictures International (UPI)
264660,Film4
257344,Columbia Pictures
257344,Happy Madison Productions
99861,Marvel Studios
99861,Prime Focus
99861,Revolution Sun Studios
273248,Double Feature Films
273248,The Weinstein Company
273248,FilmColony
260346,Twentieth Century Fox Film Corporation
260346,M6 Films
260346,Canal+
260346,EuropaCorp
260346,Ciné+
102899,Marvel Studios
150689,Walt Disney Pictures
150689,Genre Films
150689,Beagle Pug Films
150689,Allison Shearmur Productions
131634,Studio Babelsberg
131634,StudioCanal
131634,Lionsgate
131634,Walt Disney Studios Motion Pictures
131634,Color Force
158852,Walt Disney Pictures
158852,Babieka
158852,A113
307081,Escape Artists
307081,Riche-Ludwig Productions
254128,New Line Cinema
254128,Village Roadshow Pictures
254128,Warner Bros.
254128,Flynn Picture Company
216015,Focus Features
216015,Trigger Street Productions
216015,Michael De Luca Productions
318846,Paramount Pictures
318846,Plan B Entertainment
318846,Regency Enterprises
177677,Paramount Pictures
177677,Skydance Productions
177677,China Movie Channel
177677,Bad Robot
177677,TC Productions
214756,Universal Pictures
214756,Media Rights Capital
214756,Fuzzy Door Productions
207703,Twentieth Century Fox Film Corporation
207703,Marv Films
207703,TSG Entertainment
207703,Cloudy Productions
314365,Participant Media
314365,Open Road Films
314365,Anonymous Content
314365,Rocklin / Faust
314365,Entertainment One Features
294254,Gotham Group
294254,Temple Hill Entertainment
294254,TSG Entertainment
280996,BBC Films
280996,See-Saw Films
280996,FilmNation Entertainment
280996,Archer Gray
280996,AI-Film
198184,Columbia Pictures
198184,Media Rights Capital
198184,Sony Pictures Entertainment (SPE)
198184,Alpha Core
198184,Genre Films
254470,Universal Pictures
254470,Gold Circle Films
254470,Brownstone Productions
296098,DreamWorks SKG
296098,Amblin Entertainment
296098,Studio Babelsberg
296098,Fox 2000 Pictures
296098,Marc Platt Productions
257445,Columbia Pictures
257445,Original Film
257445,Scholastic Entertainment
264644,Element Pictures
264644,No Trace Camping
264644,A24
264644,Duperele Films
339527,Eden Rock Media
339527,FilmNation Entertainment
339527,Flynn Picture Company
105864,Walt Disney Pictures
105864,Pixar Animation Studios
105864,Buena Vista
241554,Vertigo Entertainment
241554,Energy Entertainment
241554,RatPac-Dune Entertainment
167073,Wildgaze Films
167073,Irish Film Board
167073,Item 7
167073,Parallel Film Productions
277216,New Line Cinema
277216,Universal Pictures
277216,Legendary Pictures
277216,Cube Vision
277216,Broken Chair Flickz
274854,Summit Entertainment
274854,Atmosphere Entertainment MM
274854,One Race Films
274854,Goldmann Pictures
274854,NeoReel
321697,Universal Pictures
321697,Scott Rudin Productions
321697,Legendary Pictures
321697,The Mark Gordon Company
321697,Management 360
203801,Davis Entertainment
203801,Warner Bros.
203801,Wigram Productions
203801,RatPac-Dune Entertainment
293863,Lakeshore Entertainment
293863,Sidney Kimmel Entertainment
293863,Sierra/Affinity
325348,Bazelevs Production
325348,Versus Pictures
228161,Twentieth Century Fox Film Corporation
228161,DreamWorks Animation
286565,Fox 2000 Pictures
265208,Current Entertainment
265208,Lionsgate
265208,Sierra / Affinity
265208,SJ Heat Productions
265208,Silver State Production Services
254320,Haut et Court
254320,Eurimages
254320,Lemming Film
254320,Element Pictures
254320,Nederlands Fonds voor de Film
258480,Killer Films
258480,Film4
258480,Number 9 Films
257211,Waverly Films
257211,Warner Bros.
253412,Universal Pictures
253412,Working Title Films
253412,Walden Media
253412,Cross Creek Pictures
253412,Free State Pictures
274479,Fox 2000 Pictures
274479,Davis Entertainment
274479,Annapurna Pictures
274479,TSG Entertainment
257088,Studio Babelsberg
257088,Alcon Entertainment
257088,DMG Entertainment
257088,Ehman Productions
295964,Double Feature Films
295964,PeaPie Films
295964,3 Arts Entertainment
238615,Endgame Entertainment
238615,Ram Bergman Productions
210860,Lionsgate
210860,Mad Chance
210860,OddLot Entertainment
210860,Huayi Brothers Media
306819,Pretty Pictures
306819,Working Title Films
306819,Artémis Productions
201088,Universal Pictures
201088,Forward Pass
201088,Legendary Pictures
273481,Lionsgate
273481,Thunder Road Pictures
273481,Black Label Media
166424,Twentieth Century Fox Film Corporation
166424,Marv Films
166424,Marvel Entertainment
166424,Constantin Film.
166424,Moving Picture Company (MPC)
310131,Parts and Labor
310131,RT Features
310131,Rooks Nest Entertainment
310131,Maiden Voyage Pictures
310131,Pulse Films
238713,Twentieth Century Fox Film Corporation
238713,Chernin Entertainment
238713,Feigco Entertainment
256591,Kramer & Sigman Films
256591,RatPac-Dune Entertainment
256591,Zaftig Films
249070,Twentieth Century Fox Film Corporation
249070,Fox International Productions
249070,Infinite Frameworks Studios
249070,TSG Entertainment
205775,Imagine Entertainment
205775,Spring Creek Productions
205775,Warner Bros.
205775,Roth Films
205775,K. JAM Media
334074,Nu Image Films
334074,Winkler Films
334074,Millennium Films
334074,Survivor Productions
312221,New Line Cinema
312221,Warner Bros.
312221,Metro-Goldwyn-Mayer (MGM)
312221,Chartoff-Winkler Productions
271718,Universal Pictures
271718,Fuji Television Network
271718,Dentsu
271718,Apatow Productions
333352,Entertainment One
333352,Moonlighting Films
333352,Raindog Films
276907,Working Title Films
276907,Cross Creek Pictures
276907,Anton Capital Entertainment (ACE)
284289,Furthur Films
266647,Warner Bros.
266647,Moving Picture Company (MPC)
266647,Berlanti Productions
266647,RatPac-Dune Entertainment
347096,Arrowstorm Entertainment
308369,Indian Paintbrush
227973,Blue Sky Studios
227973,Twentieth Century Fox Animation
227973,Feigco Entertainment
321741,Village Roadshow Pictures
321741,Scott Free Productions
321741,LStar Capital
321741,The Cantillon Company
321741,The Shuman Company
296100,Sony Pictures
296100,Point Grey Pictures
296100,Good Universe
263472,Universum Film (UFA)
263472,Dragonfly Entertainment
263472,Black Bear Pictures
263472,Square One Entertainment
263472,Sobras International Pictures
228205,Fox 2000 Pictures
228205,Temple Hill Entertainment
159824,Columbia Pictures
159824,Sony Pictures Animation
333348,Imagine Entertainment
333348,Groundswell Productions
333348,CBS Films
285783,TriStar Pictures
285783,Sony Pictures Entertainment
285783,ImageMovers
290764,Temple Hill Entertainment
290764,Senator Film
290764,Freerunning
290764,Melbarken
290764,Saban Films
296099,New Line Cinema
296099,BenderSpink
296099,David Dobkin Productions
243688,Ghost House Pictures
